Question,Answer,Document,Notes
What is the abstract of the paper 'StyleRF: Zero-Shot 3D Style Transfer of Neural Radiance Fields'?,"3D style transfer aims to render stylized novel views of a 3D scene with multiview consistency. However, most existing work suffers from a three-way dilemma over accurate geometry reconstruction, high-quality stylization, and being generalizable to arbitrary new styles. We propose StyleRF (Style Radiance Fields), an innovative 3D style transfer technique that resolves the three-way dilemma by performing style transformation within the feature space of a radiance field. StyleRF employs an explicit grid of high-level features to represent 3D scenes, with which highfidelity geometry can be reliably restored via volume rendering. In addition, it transforms the grid features according to the reference style which directly leads to high-quality zero-shot style transfer. StyleRF consists of two innovative designs. The first is sampling-invariant content transformation that makes the transformation invariant to the holistic statistics of the sampled 3D points and accordingly ensures multi-view consistency. The second is deferred style transformation of 2D feature maps which is equivalent to the transformation of 3D points but greatly reduces memory footprint without degrading multi-view consistency. Extensive experiments show that StyleRF achieves superior 3D stylization quality with precise geometry reconstruction and it can generalize to various new styles in a zero-shot manner. Project website: https://kunhao-liu.github.io/StyleRF/",E. Xing_143977260.json,
What is the author ID of Emma Strubell?,2268272,data/paper_jsons/Emma Strubell_2268272.json,
What are the papers of Emma Strubell?,"To Build Our Future, We Must Know Our Past: Contextualizing Paradigm Shifts in Natural Language Processing, Understanding the Effect of Model Compression on Social Bias in Large Language Models, Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research, On the Interactions of Structural Constraints and Data Resources for Structured Prediction, Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation, Queer People are People First: Deconstructing Sexual Identity Stereotypes in Large Language Models, Making Scalable Meta Learning Practical, Regularizing Self-training for Unsupervised Domain Adaptation via Structural Constraints, The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment, Data-efficient Active Learning for Structured Prediction with Partial Annotation and Self-Training",data/paper_jsons/Emma Strubell_2268272.json,
What is the H-index of Emma Strubell?,17,data/paper_jsons/Emma Strubell_2268272.json,
What is the author citation count of Emma Strubell?,4143,data/paper_jsons/Emma Strubell_2268272.json,
What journals has Emma Strubell published in?,ArXiv,data/paper_jsons/Emma Strubell_2268272.json,
What are the journals and how many papers has Emma Strubell published in each?,{'ArXiv': 7},data/paper_jsons/Emma Strubell_2268272.json,
What are the fields of study of Emma Strubell?,Computer Science,data/paper_jsons/Emma Strubell_2268272.json,
How many papers has Emma Strubell published in open access journals?,10,data/paper_jsons/Emma Strubell_2268272.json,
What venues has Emma Strubell published in?,"Conference on Empirical Methods in Natural Language Processing, arXiv.org, SUSTAINLP",data/paper_jsons/Emma Strubell_2268272.json,
What is the most cited paper from Emma Strubell?,Efficiency Pentathlon: A Standardized Arena for Efficiency Evaluation,data/paper_jsons/Emma Strubell_2268272.json,
What is the url of the most cited paper from Emma Strubell?,https://arxiv.org/pdf/2307.09701,data/paper_jsons/Emma Strubell_2268272.json,
Who are the authors of the most cited paper from Emma Strubell?,"Hao Peng, Qingqing Cao, Jesse Dodge, Matthew E. Peters, Jared Fernandez, Tom Sherborne, Kyle Lo, Sam Skjonsberg, Emma Strubell, Darrell Plessas, Iz Beltagy, Pete Walsh, Noah A. Smith, Hannaneh Hajishirzi",data/paper_jsons/Emma Strubell_2268272.json,
TLDR of the most cited paper from Emma Strubell?,"Pentathlon is a benchmark for holistic and realistic evaluation of model efficiency, which focuses on inference, which accounts for a majority of the compute in a model's lifecycle, and is designed to mirror real-world applications scenarios.",data/paper_jsons/Emma Strubell_2268272.json,
Abstract of the most cited paper from Emma Strubell?,"Rising computational demands of modern natural language processing (NLP) systems have increased the barrier to entry for cutting-edge research while posing serious environmental concerns. Yet, progress on model efficiency has been impeded by practical challenges in model evaluation and comparison. For example, hardware is challenging to control due to disparate levels of accessibility across different institutions. Moreover, improvements in metrics such as FLOPs often fail to translate to progress in real-world applications. In response, we introduce Pentathlon, a benchmark for holistic and realistic evaluation of model efficiency. Pentathlon focuses on inference, which accounts for a majority of the compute in a model's lifecycle. It offers a strictly-controlled hardware platform, and is designed to mirror real-world applications scenarios. It incorporates a suite of metrics that target different aspects of efficiency, including latency, throughput, memory overhead, and energy consumption. Pentathlon also comes with a software library that can be seamlessly integrated into any codebase and enable evaluation. As a standardized and centralized evaluation platform, Pentathlon can drastically reduce the workload to make fair and reproducible efficiency comparisons. While initially focused on natural language processing (NLP) models, Pentathlon is designed to allow flexible extension to other fields. We envision Pentathlon will stimulate algorithmic innovations in building efficient models, and foster an increased awareness of the social and environmental implications in the development of future-generation NLP models.",data/paper_jsons/Emma Strubell_2268272.json,
"What journal was the paper ""Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research"" published in?",ArXiv,Emma Strubell_2268272.json,
"What venue was the paper ""Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research"" published in?",arXiv.org,Emma Strubell_2268272.json,
"How many citations does the paper ""Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research"" have?",2,Emma Strubell_2268272.json,
"Who are the authors of the paper ""Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research""?","Ji-Ung Lee, Haritz Puerto, Betty van Aken, Yuki Arase, J. Forde, Leon Derczynski, Andreas Ruckl'e, Iryna Gurevych, Roy Schwartz, Emma Strubell, Jesse Dodge",Emma Strubell_2268272.json,
"Who is the first author of the paper ""Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research""?",Ji-Ung Lee,Emma Strubell_2268272.json,
"What is the paper ID of the paper ""Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research""?",667ba2e8f1933b6c32e9672012526904b4c5dc31,Emma Strubell_2268272.json,
What paper has the paper ID 667ba2e8f1933b6c32e9672012526904b4c5dc31?,Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research,Emma Strubell_2268272.json,
What is the TLDR of the paper 'Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research'?,"This work captures existing (dis)parities between different and within groups with respect to seniority, academia, and industry; and their impact on the peer reviewing process; and provides an analysis and devise recommendations to mitigate found disparities.",Emma Strubell_2268272.json,
What is the abstract of the paper 'Surveying (Dis)Parities and Concerns of Compute Hungry NLP Research'?,"Many recent improvements in NLP stem from the development and use of large pre-trained language models (PLMs) with billions of parameters. Large model sizes makes computational cost one of the main limiting factors for training and evaluating such models; and has raised severe concerns about the sustainability, reproducibility, and inclusiveness for researching PLMs. These concerns are often based on personal experiences and observations. However, there had not been any large-scale surveys that investigate them. In this work, we provide a first attempt to quantify these concerns regarding three topics, namely, environmental impact, equity, and impact on peer reviewing. By conducting a survey with 312 participants from the NLP community, we capture existing (dis)parities between different and within groups with respect to seniority, academia, and industry; and their impact on the peer reviewing process. For each topic, we provide an analysis and devise recommendations to mitigate found disparities, some of which already successfully implemented. Finally, we discuss additional concerns raised by many participants in free-text responses.",Emma Strubell_2268272.json,
"What journal was the paper ""Understanding the Effect of Model Compression on Social Bias in Large Language Models"" published in?",ArXiv,Emma Strubell_2268272.json,
"What venue was the paper ""Understanding the Effect of Model Compression on Social Bias in Large Language Models"" published in?",Conference on Empirical Methods in Natural Language Processing,Emma Strubell_2268272.json,
"How many citations does the paper ""Understanding the Effect of Model Compression on Social Bias in Large Language Models"" have?",2,Emma Strubell_2268272.json,
"Who are the authors of the paper ""Understanding the Effect of Model Compression on Social Bias in Large Language Models""?","Gustavo Gonçalves, Emma Strubell",Emma Strubell_2268272.json,
"Who is the first author of the paper ""Understanding the Effect of Model Compression on Social Bias in Large Language Models""?",Gustavo Gonçalves,Emma Strubell_2268272.json,
"What is the paper ID of the paper ""Understanding the Effect of Model Compression on Social Bias in Large Language Models""?",45e50baac4d341f0cf1a40af096bfa9c3f555235,Emma Strubell_2268272.json,
What paper has the paper ID 45e50baac4d341f0cf1a40af096bfa9c3f555235?,Understanding the Effect of Model Compression on Social Bias in Large Language Models,Emma Strubell_2268272.json,
What is the TLDR of the paper 'Understanding the Effect of Model Compression on Social Bias in Large Language Models'?,"A carefully controlled study of the impact of model compression via quantization and knowledge distillation on measures of social bias in LLMs finds that longer pretraining and larger models led to higher social bias, and quantization showed a regularizer effect with its best trade-off around 20% of the original pretraining time.",Emma Strubell_2268272.json,
What is the abstract of the paper 'Understanding the Effect of Model Compression on Social Bias in Large Language Models'?,"Large Language Models (LLMs) trained with self-supervision on vast corpora of web text fit to the social biases of that text. Without intervention, these social biases persist in the model's predictions in downstream tasks, leading to representational harm. Many strategies have been proposed to mitigate the effects of inappropriate social biases learned during pretraining. Simultaneously, methods for model compression have become increasingly popular to reduce the computational burden of LLMs. Despite the popularity and need for both approaches, little work has been done to explore the interplay between these two. We perform a carefully controlled study of the impact of model compression via quantization and knowledge distillation on measures of social bias in LLMs. Longer pretraining and larger models led to higher social bias, and quantization showed a regularizer effect with its best trade-off around 20% of the original pretraining time.",Emma Strubell_2268272.json,
"What journal was the paper ""The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment"" published in?",ArXiv,Emma Strubell_2268272.json,
"What venue was the paper ""The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment"" published in?",Conference on Empirical Methods in Natural Language Processing,Emma Strubell_2268272.json,
"How many citations does the paper ""The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment"" have?",2,Emma Strubell_2268272.json,
"Who are the authors of the paper ""The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment""?","Jared Fernandez, Jacob Kahn, Clara Na, Yonatan Bisk, Emma Strubell",Emma Strubell_2268272.json,
"Who is the first author of the paper ""The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment""?",Jared Fernandez,Emma Strubell_2268272.json,
"What is the paper ID of the paper ""The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment""?",b777aa86b5a1d49ce8eababc5c2ee56d3562801e,Emma Strubell_2268272.json,
What paper has the paper ID b777aa86b5a1d49ce8eababc5c2ee56d3562801e?,The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment,Emma Strubell_2268272.json,
What is the TLDR of the paper 'The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment'?,"This work examines the effects of model design decisions, framework paradigms, and hardware platforms on total model latency through a series of case studies analyzing the effects of model design decisions, framework paradigms, and hardware platforms on total model latency.",Emma Strubell_2268272.json,
What is the abstract of the paper 'The Framework Tax: Disparities Between Inference Efficiency in Research and Deployment'?,"Increased focus on the computational efficiency of NLP systems has motivated the design of efficient model architectures and improvements to underlying hardware accelerators. However, the resulting increases in computational throughput and reductions in floating point operations have not directly translated to improvements in wall-clock inference latency. We demonstrate that these discrepancies can be largely attributed to bottlenecks introduced by deep learning frameworks. We denote this phenomenon as the \textit{framework tax}, and observe that the disparity is growing as hardware speed increases over time. In this work, we examine this phenomenon through a series of case studies analyzing the effects of model design decisions, framework paradigms, and hardware platforms on total model latency. Code is available at https://github.com/JaredFern/Framework-Tax.",Emma Strubell_2268272.json,
What is the author ID of Eric Nyberg?,144287919,data/paper_jsons/Eric Nyberg_144287919.json,
What are the papers of Eric Nyberg?,"GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets, InPars-Light: Cost-Effective Unsupervised Training of Efficient Rankers, Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA, Chain-of-Skills: A Configurable Model for Open-Domain Question Answering",data/paper_jsons/Eric Nyberg_144287919.json,
What is the H-index of Eric Nyberg?,38,data/paper_jsons/Eric Nyberg_144287919.json,
What is the author citation count of Eric Nyberg?,6031,data/paper_jsons/Eric Nyberg_144287919.json,
What journals has Eric Nyberg published in?,"ArXiv, Proceedings of the Third DialDoc Workshop on Document-grounded Dialogue and Conversational Question Answering",data/paper_jsons/Eric Nyberg_144287919.json,
What are the journals and how many papers has Eric Nyberg published in each?,"{'ArXiv': 1, 'Proceedings of the Third DialDoc Workshop on Document-grounded Dialogue and Conversational Question Answering': 1}",data/paper_jsons/Eric Nyberg_144287919.json,
What are the fields of study of Eric Nyberg?,Computer Science,data/paper_jsons/Eric Nyberg_144287919.json,
How many papers has Eric Nyberg published in open access journals?,4,data/paper_jsons/Eric Nyberg_144287919.json,
What venues has Eric Nyberg published in?,"Conference of the European Chapter of the Association for Computational Linguistics, arXiv.org, Workshop on Document-grounded Dialogue and Conversational Question Answering, Annual Meeting of the Association for Computational Linguistics",data/paper_jsons/Eric Nyberg_144287919.json,
What is the most cited paper from Eric Nyberg?,InPars-Light: Cost-Effective Unsupervised Training of Efficient Rankers,data/paper_jsons/Eric Nyberg_144287919.json,
What is the url of the most cited paper from Eric Nyberg?,http://arxiv.org/pdf/2301.02998,data/paper_jsons/Eric Nyberg_144287919.json,
Who are the authors of the most cited paper from Eric Nyberg?,"Leonid Boytsov, Preksha Patel, Vivek Sourabh, Riddhi Nisar, Sayan Kundu, R. Ramanathan, Eric Nyberg",data/paper_jsons/Eric Nyberg_144287919.json,
TLDR of the most cited paper from Eric Nyberg?,InPars-light is the first truly cost-effective prompt-based unsupervised recipe to train and deploy neural ranking models that outperform BM25.,data/paper_jsons/Eric Nyberg_144287919.json,
Abstract of the most cited paper from Eric Nyberg?,"We carried out a reproducibility study of InPars, which is a method for unsupervised training of neural rankers (Bonifacio et al., 2022). As a by-product, we developed InPars-light, which is a simple-yet-effective modification of InPars. Unlike InPars, InPars-light uses 7x-100x smaller ranking models and only a freely available language model BLOOM, which -- as we found out -- produced more accurate rankers compared to a proprietary GPT-3 model. On all five English retrieval collections (used in the original InPars study) we obtained substantial (7%-30%) and statistically significant improvements over BM25 (in nDCG and MRR) using only a 30M parameter six-layer MiniLM-30M ranker and a single three-shot prompt. In contrast, in the InPars study only a 100x larger monoT5-3B model consistently outperformed BM25, whereas their smaller monoT5-220M model (which is still 7x larger than our MiniLM ranker) outperformed BM25 only on MS MARCO and TREC DL 2020. In the same three-shot prompting scenario, our 435M parameter DeBERTA v3 ranker was at par with the 7x larger monoT5-3B (average gain over BM25 of 1.3 vs 1.32): In fact, on three out of five datasets, DeBERTA slightly outperformed monoT5-3B. Finally, these good results were achieved by re-ranking only 100 candidate documents compared to 1000 used by Bonifacio et al. (2022). We believe that InPars-light is the first truly cost-effective prompt-based unsupervised recipe to train and deploy neural ranking models that outperform BM25. Our code and data is publicly available. https://github.com/searchivarius/inpars_light/",data/paper_jsons/Eric Nyberg_144287919.json,
"What journal was the paper ""GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets"" published in?",,Eric Nyberg_144287919.json,
"What venue was the paper ""GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets"" published in?",Conference of the European Chapter of the Association for Computational Linguistics,Eric Nyberg_144287919.json,
"How many citations does the paper ""GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets"" have?",0,Eric Nyberg_144287919.json,
"Who are the authors of the paper ""GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets""?","Njall Skarphedinsson, Breki Gudmundsson, Steinar Smari, M. Lárusdóttir, H. Einarsson, Abuzar Khan, Eric Nyberg, H. Loftsson",Eric Nyberg_144287919.json,
"Who is the first author of the paper ""GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets""?",Njall Skarphedinsson,Eric Nyberg_144287919.json,
"What is the paper ID of the paper ""GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets""?",0f008e07d601e8f21d1df5db3d36e85484840083,Eric Nyberg_144287919.json,
What paper has the paper ID 0f008e07d601e8f21d1df5db3d36e85484840083?,GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets,Eric Nyberg_144287919.json,
What is the TLDR of the paper 'GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets'?,This work developed a novel crowd-sourcing platform to gather multiple-domain QA data for low-resource languages and successfully released the app for Icelandic to build a dataset which rivals large QA datasets for high- resource languages both in terms of size and ratio of answered questions.,Eric Nyberg_144287919.json,
What is the abstract of the paper 'GameQA: Gamified Mobile App Platform for Building Multiple-Domain Question-Answering Datasets'?,"The methods used to create many of the well-known Question-Answering (QA) datasets are hard to replicate for low-resource languages. A commonality amongst these methods is hiring annotators to source answers from the internet by querying a single answer source, such as Wikipedia. Applying these methods for low-resource languages can be problematic since there is no single large answer source for these languages. Consequently, this can result in a high ratio of unanswered questions, since the amount of information in any single source is limited. To address this problem, we developed a novel crowd-sourcing platform to gather multiple-domain QA data for low-resource languages. Our platform, which consists of a mobile app and a web API, gamifies the data collection process. We successfully released the app for Icelandic (a low-resource language with about 350,000 native speakers) to build a dataset which rivals large QA datasets for high-resource languages both in terms of size and ratio of answered questions. We have made the platform open source with instructions on how to localize and deploy it to gather data for other low-resource languages.",Eric Nyberg_144287919.json,
"What journal was the paper ""Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA"" published in?",Proceedings of the Third DialDoc Workshop on Document-grounded Dialogue and Conversational Question Answering,Eric Nyberg_144287919.json,
"What venue was the paper ""Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA"" published in?",Workshop on Document-grounded Dialogue and Conversational Question Answering,Eric Nyberg_144287919.json,
"How many citations does the paper ""Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA"" have?",2,Eric Nyberg_144287919.json,
"Who are the authors of the paper ""Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA""?","Srinivas Gowriraj, Soham Dinesh Tiwari, Mitali Potnis, Srijan Bansal, T. Mitamura, Eric Nyberg",Eric Nyberg_144287919.json,
"Who is the first author of the paper ""Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA""?",Srinivas Gowriraj,Eric Nyberg_144287919.json,
"What is the paper ID of the paper ""Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA""?",444737639aeea4e1e616509e368afb0bae8f89d6,Eric Nyberg_144287919.json,
What paper has the paper ID 444737639aeea4e1e616509e368afb0bae8f89d6?,Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA,Eric Nyberg_144287919.json,
What is the TLDR of the paper 'Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA'?,"This paper assesses the effectiveness of both language-agnostic and language-aware paradigms for multilingual pre-trained transformer models in a bi-encoder-based dense passage retriever (DPR), concluding that the language-gnostic approach is superior.",Eric Nyberg_144287919.json,
What is the abstract of the paper 'Language-Agnostic Transformers and Assessing ChatGPT-Based Query Rewriting for Multilingual Document-Grounded QA'?,"The DialDoc 2023 shared task has expanded the document-grounded dialogue task to encompass multiple languages, despite having limited annotated data. This paper assesses the effectiveness of both language-agnostic and language-aware paradigms for multilingual pre-trained transformer models in a bi-encoder-based dense passage retriever (DPR), concluding that the language-agnostic approach is superior. Additionally, the study investigates the impact of query rewriting techniques using large language models, such as ChatGPT, on multilingual, document-grounded question-answering systems. The experiments conducted demonstrate that, for the examples examined, query rewriting does not enhance performance compared to the original queries. This failure is due to topic switching in final dialogue turns and irrelevant topics being considered for query rewriting.",Eric Nyberg_144287919.json,
"What journal was the paper ""Chain-of-Skills: A Configurable Model for Open-Domain Question Answering"" published in?",,Eric Nyberg_144287919.json,
"What venue was the paper ""Chain-of-Skills: A Configurable Model for Open-Domain Question Answering"" published in?",Annual Meeting of the Association for Computational Linguistics,Eric Nyberg_144287919.json,
"How many citations does the paper ""Chain-of-Skills: A Configurable Model for Open-Domain Question Answering"" have?",6,Eric Nyberg_144287919.json,
"Who are the authors of the paper ""Chain-of-Skills: A Configurable Model for Open-Domain Question Answering""?","Kaixin Ma, Hao Cheng, Yu Zhang, Xiaodong Liu, Eric Nyberg, Jianfeng Gao",Eric Nyberg_144287919.json,
"Who is the first author of the paper ""Chain-of-Skills: A Configurable Model for Open-Domain Question Answering""?",Kaixin Ma,Eric Nyberg_144287919.json,
"What is the paper ID of the paper ""Chain-of-Skills: A Configurable Model for Open-Domain Question Answering""?",61354e45bca908ad08f24e44bd507b4e1c958e6f,Eric Nyberg_144287919.json,
What paper has the paper ID 61354e45bca908ad08f24e44bd507b4e1c958e6f?,Chain-of-Skills: A Configurable Model for Open-Domain Question Answering,Eric Nyberg_144287919.json,
What is the TLDR of the paper 'Chain-of-Skills: A Configurable Model for Open-Domain Question Answering'?,"This work proposes a modular retriever where individual modules correspond to key skills that can be reused across datasets and achieves state-of-the-art fine-tuned retrieval performance on NQ, HotpotQA and OTT-QA.",Eric Nyberg_144287919.json,
What is the abstract of the paper 'Chain-of-Skills: A Configurable Model for Open-Domain Question Answering'?,"The retrieval model is an indispensable component for real-world knowledge-intensive tasks, e.g., open-domain question answering (ODQA). As separate retrieval skills are annotated for different datasets, recent work focuses on customized methods, limiting the model transfer- ability and scalability. In this work, we propose a modular retriever where individual modules correspond to key skills that can be reused across datasets. Our approach supports flexible skill configurations based on the target domain to boost performance. To mitigate task interference, we design a novel modularization parameterization inspired by sparse Transformer. We demonstrate that our model can benefit from self-supervised pretraining on Wikipedia and fine-tuning using multiple ODQA datasets, both in a multi-task fashion. Our approach outperforms recent self-supervised retrievers in zero-shot evaluations and achieves state-of-the-art fine-tuned retrieval performance on NQ, HotpotQA and OTT-QA.",Eric Nyberg_144287919.json,
What is the author ID of Fernando-Diaz?,145472333,data/paper_jsons/Fernando Diaz_145472333.json,
What are the papers of Fernando-Diaz?,"Best-Case Retrieval Evaluation: Improving the Sensitivity of Reciprocal Rank with Lexicographic Precision, Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery, Overview of the TREC 2021 Fair Ranking Track",data/paper_jsons/Fernando Diaz_145472333.json,
What is the H-index of Fernando-Diaz?,45,data/paper_jsons/Fernando Diaz_145472333.json,
What is the author citation count of Fernando-Diaz?,7996,data/paper_jsons/Fernando Diaz_145472333.json,
What journals has Fernando-Diaz published in?,ArXiv,data/paper_jsons/Fernando Diaz_145472333.json,
What are the journals and how many papers has Fernando-Diaz published in each?,{'ArXiv': 3},data/paper_jsons/Fernando Diaz_145472333.json,
What are the fields of study of Fernando-Diaz?,Computer Science,data/paper_jsons/Fernando Diaz_145472333.json,
How many papers has Fernando-Diaz published in open access journals?,3,data/paper_jsons/Fernando Diaz_145472333.json,
What venues has Fernando-Diaz published in?,"arXiv.org, Text Retrieval Conference",data/paper_jsons/Fernando Diaz_145472333.json,
What is the most cited paper from Fernando-Diaz?,Overview of the TREC 2021 Fair Ranking Track,data/paper_jsons/Fernando Diaz_145472333.json,
What is the url of the most cited paper from Fernando-Diaz?,http://arxiv.org/pdf/2302.10856,data/paper_jsons/Fernando Diaz_145472333.json,
Who are the authors of the most cited paper from Fernando-Diaz?,"Asia J. Biega, Fernando Diaz, Michael D. Ekstrand, Sebastian Kohlmeier",data/paper_jsons/Fernando Diaz_145472333.json,
TLDR of the most cited paper from Fernando-Diaz?,"The 2021 Fair Ranking track aimed to ensure that documents that are about, or somehow represent, certain protected characteristics receive a fair exposure to the Wikipedia editors, so that the documents have an fair opportunity of being improved and, therefore, be well-represented in Wikipedia.",data/paper_jsons/Fernando Diaz_145472333.json,
Abstract of the most cited paper from Fernando-Diaz?,"The TREC Fair Ranking Track aims to provide a platform for participants to develop and evaluate novel retrieval algorithms that can provide a fair exposure to a mixture of demographics or attributes, such as ethnicity, that are represented by relevant documents in response to a search query. For example, particular demographics or attributes can be represented by the documents' topical content or authors. The 2021 Fair Ranking Track adopted a resource allocation task. The task focused on supporting Wikipedia editors who are looking to improve the encyclopedia's coverage of topics under the purview of a WikiProject. WikiProject coordinators and/or Wikipedia editors search for Wikipedia documents that are in need of editing to improve the quality of the article. The 2021 Fair Ranking track aimed to ensure that documents that are about, or somehow represent, certain protected characteristics receive a fair exposure to the Wikipedia editors, so that the documents have an fair opportunity of being improved and, therefore, be well-represented in Wikipedia. The under-representation of particular protected characteristics in Wikipedia can result in systematic biases that can have a negative human, social, and economic impact, particularly for disadvantaged or protected societal groups.",data/paper_jsons/Fernando Diaz_145472333.json,
"What journal was the paper ""Overview of the TREC 2021 Fair Ranking Track"" published in?",ArXiv,Fernando Diaz_145472333.json,
"What venue was the paper ""Overview of the TREC 2021 Fair Ranking Track"" published in?",Text Retrieval Conference,Fernando Diaz_145472333.json,
"How many citations does the paper ""Overview of the TREC 2021 Fair Ranking Track"" have?",28,Fernando Diaz_145472333.json,
"Who are the authors of the paper ""Overview of the TREC 2021 Fair Ranking Track""?","Asia J. Biega, Fernando Diaz, Michael D. Ekstrand, Sebastian Kohlmeier",Fernando Diaz_145472333.json,
"Who is the first author of the paper ""Overview of the TREC 2021 Fair Ranking Track""?",Asia J. Biega,Fernando Diaz_145472333.json,
"What is the paper ID of the paper ""Overview of the TREC 2021 Fair Ranking Track""?",5e1ba2d4416333dd6f6a31a4ff4221b40dfb74b1,Fernando Diaz_145472333.json,
What paper has the paper ID 5e1ba2d4416333dd6f6a31a4ff4221b40dfb74b1?,Overview of the TREC 2021 Fair Ranking Track,Fernando Diaz_145472333.json,
What is the TLDR of the paper 'Overview of the TREC 2021 Fair Ranking Track'?,"The 2021 Fair Ranking track aimed to ensure that documents that are about, or somehow represent, certain protected characteristics receive a fair exposure to the Wikipedia editors, so that the documents have an fair opportunity of being improved and, therefore, be well-represented in Wikipedia.",Fernando Diaz_145472333.json,
What is the abstract of the paper 'Overview of the TREC 2021 Fair Ranking Track'?,"The TREC Fair Ranking Track aims to provide a platform for participants to develop and evaluate novel retrieval algorithms that can provide a fair exposure to a mixture of demographics or attributes, such as ethnicity, that are represented by relevant documents in response to a search query. For example, particular demographics or attributes can be represented by the documents' topical content or authors. The 2021 Fair Ranking Track adopted a resource allocation task. The task focused on supporting Wikipedia editors who are looking to improve the encyclopedia's coverage of topics under the purview of a WikiProject. WikiProject coordinators and/or Wikipedia editors search for Wikipedia documents that are in need of editing to improve the quality of the article. The 2021 Fair Ranking track aimed to ensure that documents that are about, or somehow represent, certain protected characteristics receive a fair exposure to the Wikipedia editors, so that the documents have an fair opportunity of being improved and, therefore, be well-represented in Wikipedia. The under-representation of particular protected characteristics in Wikipedia can result in systematic biases that can have a negative human, social, and economic impact, particularly for disadvantaged or protected societal groups.",Fernando Diaz_145472333.json,
"What journal was the paper ""Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery"" published in?",ArXiv,Fernando Diaz_145472333.json,
"What venue was the paper ""Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery"" published in?",arXiv.org,Fernando Diaz_145472333.json,
"How many citations does the paper ""Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery"" have?",0,Fernando Diaz_145472333.json,
"Who are the authors of the paper ""Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery""?","Rebecca Salganik, Fernando Diaz, G. Farnadi",Fernando Diaz_145472333.json,
"Who is the first author of the paper ""Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery""?",Rebecca Salganik,Fernando Diaz_145472333.json,
"What is the paper ID of the paper ""Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery""?",567f6bc975deb3d728feec9bfcf7d4036ceabb12,Fernando Diaz_145472333.json,
What paper has the paper ID 567f6bc975deb3d728feec9bfcf7d4036ceabb12?,Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery,Fernando Diaz_145472333.json,
What is the TLDR of the paper 'Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery'?,"This work proposes a domain-aware, individual fairness-based approach which addresses popularity bias in graph neural network (GNNs) based recommender systems and applies the BOOST methodology to two discovery based tasks, performing recommendations at both the playlist level and user level.",Fernando Diaz_145472333.json,
