Question,Answer
What is the course number of Modern Biology?,03121
What is the name of course number 03121?,Modern Biology
What time does the course 03121 Modern Biology begin?,09:00AM
What time does the course 03121 Modern Biology end?,09:50AM
What days does the course 03121 Modern Biology meet?,"Monday, Wednesday, Friday"
What is the location of the course 03121 Modern Biology?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03121 Modern Biology?,DH 2315
How many units is the course 03121 Modern Biology?,9.0
Who are the instructors of the course 03121 Modern Biology?,"Wong-Noonan, Wisniewski"
What is the course number of Neurobiology of Disease?,03133
What is the name of course number 03133?,Neurobiology of Disease
What time does the course 03133 Neurobiology of Disease begin?,09:00AM
What time does the course 03133 Neurobiology of Disease end?,09:50AM
What days does the course 03133 Neurobiology of Disease meet?,"Monday, Wednesday, Friday"
What is the location of the course 03133 Neurobiology of Disease?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03133 Neurobiology of Disease?,SH 105
How many units is the course 03133 Neurobiology of Disease?,9.0
Who are the instructors of the course 03133 Neurobiology of Disease?,Brasier
What is the course number of Undergraduate Colloquium for Sophomores?,03202
What is the name of course number 03202?,Undergraduate Colloquium for Sophomores
What time does the course 03202 Undergraduate Colloquium for Sophomores begin?,11:30AM
What time does the course 03202 Undergraduate Colloquium for Sophomores end?,12:20PM
What days does the course 03202 Undergraduate Colloquium for Sophomores meet?,"Monday, "
What is the location of the course 03202 Undergraduate Colloquium for Sophomores?,"Doha, Qatar"
What is the building and room number of the course 03202 Undergraduate Colloquium for Sophomores?,CMB 3046
How many units is the course 03202 Undergraduate Colloquium for Sophomores?,1-3
Who are the instructors of the course 03202 Undergraduate Colloquium for Sophomores?,Younis
What is the course number of Applied Cell Biology?,03290
What is the name of course number 03290?,Applied Cell Biology
What time does the course 03290 Applied Cell Biology begin?,02:30PM
What time does the course 03290 Applied Cell Biology end?,05:20PM
What days does the course 03290 Applied Cell Biology meet?,Thursday
What is the location of the course 03290 Applied Cell Biology?,"Doha, Qatar"
What is the building and room number of the course 03290 Applied Cell Biology?,CMB 3025
How many units is the course 03290 Applied Cell Biology?,3.0
Who are the instructors of the course 03290 Applied Cell Biology?,Bouaouina
What is the course number of Systems Neuroscience?,03363
What is the name of course number 03363?,Systems Neuroscience
What time does the course 03363 Systems Neuroscience begin?,12:30PM
What time does the course 03363 Systems Neuroscience end?,01:50PM
What days does the course 03363 Systems Neuroscience meet?,"Tuesday, Thursday"
What is the location of the course 03363 Systems Neuroscience?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03363 Systems Neuroscience?,DH 1212
How many units is the course 03363 Systems Neuroscience?,9.0
Who are the instructors of the course 03363 Systems Neuroscience?,Yttri
"What is the course number of Neuropharmacology: Drugs, Brain and Behavior?",03366
What is the name of course number 03366?,"Neuropharmacology: Drugs, Brain and Behavior"
"What time does the course 03366 Neuropharmacology: Drugs, Brain and Behavior begin?",09:30AM
"What time does the course 03366 Neuropharmacology: Drugs, Brain and Behavior end?",10:50AM
"What days does the course 03366 Neuropharmacology: Drugs, Brain and Behavior meet?","Tuesday, Thursday"
"What is the location of the course 03366 Neuropharmacology: Drugs, Brain and Behavior?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 03366 Neuropharmacology: Drugs, Brain and Behavior?",WEH 5415
"How many units is the course 03366 Neuropharmacology: Drugs, Brain and Behavior?",9.0
"Who are the instructors of the course 03366 Neuropharmacology: Drugs, Brain and Behavior?",Hong
What is the course number of Microbiology?,03391
What is the name of course number 03391?,Microbiology
What time does the course 03391 Microbiology begin?,09:30AM
What time does the course 03391 Microbiology end?,10:50AM
What days does the course 03391 Microbiology meet?,"Tuesday, Thursday"
What is the location of the course 03391 Microbiology?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03391 Microbiology?,POS 151
How many units is the course 03391 Microbiology?,9.0
Who are the instructors of the course 03391 Microbiology?,Hiller
What is the course number of Cancer Biology?,03435
What is the name of course number 03435?,Cancer Biology
What time does the course 03435 Cancer Biology begin?,09:00AM
What time does the course 03435 Cancer Biology end?,09:50AM
What days does the course 03435 Cancer Biology meet?,"Monday, Wednesday, Friday"
What is the location of the course 03435 Cancer Biology?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03435 Cancer Biology?,PH A22
How many units is the course 03435 Cancer Biology?,9.0
Who are the instructors of the course 03435 Cancer Biology?,Zhao
What is the course number of Developmental Biology and Human Health?,03650
What is the name of course number 03650?,Developmental Biology and Human Health
What time does the course 03650 Developmental Biology and Human Health begin?,10:00AM
What time does the course 03650 Developmental Biology and Human Health end?,10:50AM
What days does the course 03650 Developmental Biology and Human Health meet?,"Monday, Wednesday, Friday"
What is the location of the course 03650 Developmental Biology and Human Health?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03650 Developmental Biology and Human Health?,WEH 5415
How many units is the course 03650 Developmental Biology and Human Health?,12.0
Who are the instructors of the course 03650 Developmental Biology and Human Health?,Ettensohn
What is the course number of Practical Computing for Biologists?,03708
What is the name of course number 03708?,Practical Computing for Biologists
What time does the course 03708 Practical Computing for Biologists begin?,12:30PM
What time does the course 03708 Practical Computing for Biologists end?,01:50PM
What days does the course 03708 Practical Computing for Biologists meet?,"Monday, Friday"
What is the location of the course 03708 Practical Computing for Biologists?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03708 Practical Computing for Biologists?,POS 146
How many units is the course 03708 Practical Computing for Biologists?,6.0
Who are the instructors of the course 03708 Practical Computing for Biologists?,Mcmanus
What is the course number of Entrepreneurship and protein-based drug development?,03729
What is the name of course number 03729?,Entrepreneurship and protein-based drug development
What time does the course 03729 Entrepreneurship and protein-based drug development begin?,02:00PM
What time does the course 03729 Entrepreneurship and protein-based drug development end?,03:20PM
What days does the course 03729 Entrepreneurship and protein-based drug development meet?,"Tuesday, Thursday"
What is the location of the course 03729 Entrepreneurship and protein-based drug development?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03729 Entrepreneurship and protein-based drug development?,SH 236
How many units is the course 03729 Entrepreneurship and protein-based drug development?,6.0
Who are the instructors of the course 03729 Entrepreneurship and protein-based drug development?,Minden
What is the course number of Biosensors?,03737
What is the name of course number 03737?,Biosensors
What time does the course 03737 Biosensors begin?,02:00PM
What time does the course 03737 Biosensors end?,03:20PM
What days does the course 03737 Biosensors meet?,"Tuesday, Thursday"
What is the location of the course 03737 Biosensors?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03737 Biosensors?,SH 236
How many units is the course 03737 Biosensors?,6.0
Who are the instructors of the course 03737 Biosensors?,Zhao
What is the course number of Advanced Cell Biology?,03741
What is the name of course number 03741?,Advanced Cell Biology
What time does the course 03741 Advanced Cell Biology begin?,12:00PM
What time does the course 03741 Advanced Cell Biology end?,01:50PM
What days does the course 03741 Advanced Cell Biology meet?,"Tuesday, "
What is the location of the course 03741 Advanced Cell Biology?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03741 Advanced Cell Biology?,TBA    
How many units is the course 03741 Advanced Cell Biology?,9.0
Who are the instructors of the course 03741 Advanced Cell Biology?,"Lee, Linstedt"
What is the course number of Graduate Research Club?,03755
What is the name of course number 03755?,Graduate Research Club
What time does the course 03755 Graduate Research Club begin?,12:00PM
What time does the course 03755 Graduate Research Club end?,12:50PM
What days does the course 03755 Graduate Research Club meet?,Thursday
What is the location of the course 03755 Graduate Research Club?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03755 Graduate Research Club?,MI 348
How many units is the course 03755 Graduate Research Club?,3.0
Who are the instructors of the course 03755 Graduate Research Club?,"Minden, Zhang"
What is the course number of Molecular Techniques for Bioprocessing?,03776
What is the name of course number 03776?,Molecular Techniques for Bioprocessing
What time does the course 03776 Molecular Techniques for Bioprocessing begin?,02:00PM
What time does the course 03776 Molecular Techniques for Bioprocessing end?,05:00PM
What days does the course 03776 Molecular Techniques for Bioprocessing meet?,"Monday, Friday"
What is the location of the course 03776 Molecular Techniques for Bioprocessing?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 03776 Molecular Techniques for Bioprocessing?,DH 2303
How many units is the course 03776 Molecular Techniques for Bioprocessing?,6.0
Who are the instructors of the course 03776 Molecular Techniques for Bioprocessing?,McGuier
What is the course number of Introduction to Biomedical Engineering?,42101
What is the name of course number 42101?,Introduction to Biomedical Engineering
What time does the course 42101 Introduction to Biomedical Engineering begin?,02:00PM
What time does the course 42101 Introduction to Biomedical Engineering end?,02:50PM
What days does the course 42101 Introduction to Biomedical Engineering meet?,"Monday, Friday"
What is the location of the course 42101 Introduction to Biomedical Engineering?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42101 Introduction to Biomedical Engineering?,BH A51
How many units is the course 42101 Introduction to Biomedical Engineering?,12.0
Who are the instructors of the course 42101 Introduction to Biomedical Engineering?,Chase
What is the course number of Professional Issues in Biomedical Engineering?,42201
What is the name of course number 42201?,Professional Issues in Biomedical Engineering
What time does the course 42201 Professional Issues in Biomedical Engineering begin?,01:00PM
What time does the course 42201 Professional Issues in Biomedical Engineering end?,01:50PM
What days does the course 42201 Professional Issues in Biomedical Engineering meet?,Thursday
What is the location of the course 42201 Professional Issues in Biomedical Engineering?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42201 Professional Issues in Biomedical Engineering?,HOA 160
How many units is the course 42201 Professional Issues in Biomedical Engineering?,3.0
Who are the instructors of the course 42201 Professional Issues in Biomedical Engineering?,Cook
What is the course number of Biomedical Engineering Laboratory?,42203
What is the name of course number 42203?,Biomedical Engineering Laboratory
What time does the course 42203 Biomedical Engineering Laboratory begin?,02:00PM
What time does the course 42203 Biomedical Engineering Laboratory end?,03:20PM
What days does the course 42203 Biomedical Engineering Laboratory meet?,"Monday, Wednesday, "
What is the location of the course 42203 Biomedical Engineering Laboratory?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42203 Biomedical Engineering Laboratory?,EDS 125
How many units is the course 42203 Biomedical Engineering Laboratory?,9.0
Who are the instructors of the course 42203 Biomedical Engineering Laboratory?,Ren
What is the course number of Biomedical Engineering Systems Modeling and Analysis?,42302
What is the name of course number 42302?,Biomedical Engineering Systems Modeling and Analysis
What time does the course 42302 Biomedical Engineering Systems Modeling and Analysis begin?,02:00PM
What time does the course 42302 Biomedical Engineering Systems Modeling and Analysis end?,03:20PM
What days does the course 42302 Biomedical Engineering Systems Modeling and Analysis meet?,"Tuesday, Thursday"
What is the location of the course 42302 Biomedical Engineering Systems Modeling and Analysis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42302 Biomedical Engineering Systems Modeling and Analysis?,HH B131
How many units is the course 42302 Biomedical Engineering Systems Modeling and Analysis?,9.0
Who are the instructors of the course 42302 Biomedical Engineering Systems Modeling and Analysis?,Wood
What is the course number of Biomedical Optical Imaging?,42437
What is the name of course number 42437?,Biomedical Optical Imaging
What time does the course 42437 Biomedical Optical Imaging begin?,03:30PM
What time does the course 42437 Biomedical Optical Imaging end?,04:50PM
What days does the course 42437 Biomedical Optical Imaging meet?,"Monday, Wednesday, "
What is the location of the course 42437 Biomedical Optical Imaging?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42437 Biomedical Optical Imaging?,GHC 4211
How many units is the course 42437 Biomedical Optical Imaging?,9.0
Who are the instructors of the course 42437 Biomedical Optical Imaging?,Kainerstorfer
What is the course number of Polymeric Biomaterials?,42613
What is the name of course number 42613?,Polymeric Biomaterials
What time does the course 42613 Polymeric Biomaterials begin?,10:00AM
What time does the course 42613 Polymeric Biomaterials end?,11:50AM
What days does the course 42613 Polymeric Biomaterials meet?,"Monday, Wednesday, "
What is the location of the course 42613 Polymeric Biomaterials?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42613 Polymeric Biomaterials?,BH A36
How many units is the course 42613 Polymeric Biomaterials?,12.0
Who are the instructors of the course 42613 Polymeric Biomaterials?,Feinberg
What is the course number of Surgery for Engineers?,42625
What is the name of course number 42625?,Surgery for Engineers
What time does the course 42625 Surgery for Engineers begin?,08:00AM
What time does the course 42625 Surgery for Engineers end?,10:50AM
What days does the course 42625 Surgery for Engineers meet?,"Tuesday, "
What is the location of the course 42625 Surgery for Engineers?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42625 Surgery for Engineers?,BH A36
How many units is the course 42625 Surgery for Engineers?,9.0
Who are the instructors of the course 42625 Surgery for Engineers?,Cheng
What is the course number of Cellular Biomechanics?,42645
What is the name of course number 42645?,Cellular Biomechanics
What time does the course 42645 Cellular Biomechanics begin?,11:00AM
What time does the course 42645 Cellular Biomechanics end?,12:20PM
What days does the course 42645 Cellular Biomechanics meet?,"Tuesday, Thursday"
What is the location of the course 42645 Cellular Biomechanics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42645 Cellular Biomechanics?,DH 2105
How many units is the course 42645 Cellular Biomechanics?,9.0
Who are the instructors of the course 42645 Cellular Biomechanics?,Leduc
What is the course number of Biostatistics?,42655
What is the name of course number 42655?,Biostatistics
What time does the course 42655 Biostatistics begin?,03:30PM
What time does the course 42655 Biostatistics end?,04:50PM
What days does the course 42655 Biostatistics meet?,"Tuesday, Thursday"
What is the location of the course 42655 Biostatistics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42655 Biostatistics?,HH B131
How many units is the course 42655 Biostatistics?,9.0
Who are the instructors of the course 42655 Biostatistics?,Chalacheva
What is the course number of Medical Device Innovation and Realization?,42678
What is the name of course number 42678?,Medical Device Innovation and Realization
What time does the course 42678 Medical Device Innovation and Realization begin?,04:00PM
What time does the course 42678 Medical Device Innovation and Realization end?,05:50PM
What days does the course 42678 Medical Device Innovation and Realization meet?,"Monday, Wednesday, "
What is the location of the course 42678 Medical Device Innovation and Realization?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42678 Medical Device Innovation and Realization?,DH 1211
How many units is the course 42678 Medical Device Innovation and Realization?,12.0
Who are the instructors of the course 42678 Medical Device Innovation and Realization?,Faulk
What is the course number of Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology?,42692
What is the name of course number 42692?,Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology
What time does the course 42692 Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology begin?,10:00AM
What time does the course 42692 Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology end?,11:50AM
What days does the course 42692 Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology meet?,"Monday, Wednesday, "
What is the location of the course 42692 Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42692 Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology?,SH 238
How many units is the course 42692 Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology?,12.0
Who are the instructors of the course 42692 Special Topics: Nanoscale Manufacturing Using Structural DNA Nanotechnology?,Taylor
What is the course number of Special Topics: Engineering Protein Therapeutics?,42695
What is the name of course number 42695?,Special Topics: Engineering Protein Therapeutics
What time does the course 42695 Special Topics: Engineering Protein Therapeutics begin?,09:30AM
What time does the course 42695 Special Topics: Engineering Protein Therapeutics end?,10:50AM
What days does the course 42695 Special Topics: Engineering Protein Therapeutics meet?,"Monday, Wednesday, "
What is the location of the course 42695 Special Topics: Engineering Protein Therapeutics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42695 Special Topics: Engineering Protein Therapeutics?,WEH 4625
How many units is the course 42695 Special Topics: Engineering Protein Therapeutics?,12.0
Who are the instructors of the course 42695 Special Topics: Engineering Protein Therapeutics?,Campbell
What is the course number of Special Topics: Orthopaedic Tissue Mechanics?,42697
What is the name of course number 42697?,Special Topics: Orthopaedic Tissue Mechanics
What time does the course 42697 Special Topics: Orthopaedic Tissue Mechanics begin?,03:30PM
What time does the course 42697 Special Topics: Orthopaedic Tissue Mechanics end?,04:50PM
What days does the course 42697 Special Topics: Orthopaedic Tissue Mechanics meet?,"Monday, Wednesday, "
What is the location of the course 42697 Special Topics: Orthopaedic Tissue Mechanics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42697 Special Topics: Orthopaedic Tissue Mechanics?,EDS 125
How many units is the course 42697 Special Topics: Orthopaedic Tissue Mechanics?,9.0
Who are the instructors of the course 42697 Special Topics: Orthopaedic Tissue Mechanics?,Moore
What is the course number of Biomedical Optical Imaging?,42737
What is the name of course number 42737?,Biomedical Optical Imaging
What time does the course 42737 Biomedical Optical Imaging begin?,03:30PM
What time does the course 42737 Biomedical Optical Imaging end?,04:50PM
What days does the course 42737 Biomedical Optical Imaging meet?,"Monday, Wednesday, "
What is the location of the course 42737 Biomedical Optical Imaging?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42737 Biomedical Optical Imaging?,GHC 4211
How many units is the course 42737 Biomedical Optical Imaging?,12.0
Who are the instructors of the course 42737 Biomedical Optical Imaging?,Kainerstorfer
What is the course number of Biofabrication and Bioprinting?,42887
What is the name of course number 42887?,Biofabrication and Bioprinting
What time does the course 42887 Biofabrication and Bioprinting begin?,07:00PM
What time does the course 42887 Biofabrication and Bioprinting end?,08:30PM
What days does the course 42887 Biofabrication and Bioprinting meet?,"Wednesday, "
What is the location of the course 42887 Biofabrication and Bioprinting?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 42887 Biofabrication and Bioprinting?,CMU REMOTE
How many units is the course 42887 Biofabrication and Bioprinting?,12.0
Who are the instructors of the course 42887 Biofabrication and Bioprinting?,Palchesko
What is the course number of Financial and Managerial Accounting II?,45701
What is the name of course number 45701?,Financial and Managerial Accounting II
What time does the course 45701 Financial and Managerial Accounting II begin?,10:00AM
What time does the course 45701 Financial and Managerial Accounting II end?,11:45AM
What days does the course 45701 Financial and Managerial Accounting II meet?,"Tuesday, Thursday"
What is the location of the course 45701 Financial and Managerial Accounting II?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45701 Financial and Managerial Accounting II?,TEP 2110
How many units is the course 45701 Financial and Managerial Accounting II?,6.0
Who are the instructors of the course 45701 Financial and Managerial Accounting II?,Ytsma
What is the course number of Consumer Behavior?,45836
What is the name of course number 45836?,Consumer Behavior
What time does the course 45836 Consumer Behavior begin?,02:00PM
What time does the course 45836 Consumer Behavior end?,03:45PM
What days does the course 45836 Consumer Behavior meet?,"Monday, Wednesday, "
What is the location of the course 45836 Consumer Behavior?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45836 Consumer Behavior?,TEP 2119
How many units is the course 45836 Consumer Behavior?,6.0
Who are the instructors of the course 45836 Consumer Behavior?,Olivola
What is the course number of Six Sigma Tools and Techniques?,45861
What is the name of course number 45861?,Six Sigma Tools and Techniques
What time does the course 45861 Six Sigma Tools and Techniques begin?,08:15PM
What time does the course 45861 Six Sigma Tools and Techniques end?,09:30PM
What days does the course 45861 Six Sigma Tools and Techniques meet?,"Tuesday, "
What is the location of the course 45861 Six Sigma Tools and Techniques?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45861 Six Sigma Tools and Techniques?,TBA    
How many units is the course 45861 Six Sigma Tools and Techniques?,6.0
Who are the instructors of the course 45861 Six Sigma Tools and Techniques?,Scheller-Wolf
What is the course number of Service Design Leadership for Tackling Complexity?,45869
What is the name of course number 45869?,Service Design Leadership for Tackling Complexity
What time does the course 45869 Service Design Leadership for Tackling Complexity begin?,04:00PM
What time does the course 45869 Service Design Leadership for Tackling Complexity end?,05:45PM
What days does the course 45869 Service Design Leadership for Tackling Complexity meet?,"Tuesday, Thursday"
What is the location of the course 45869 Service Design Leadership for Tackling Complexity?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45869 Service Design Leadership for Tackling Complexity?,TEP 2118
How many units is the course 45869 Service Design Leadership for Tackling Complexity?,6.0
Who are the instructors of the course 45869 Service Design Leadership for Tackling Complexity?,Chapman
What is the course number of Writing for Managers?,45898
What is the name of course number 45898?,Writing for Managers
What time does the course 45898 Writing for Managers begin?,02:00PM
What time does the course 45898 Writing for Managers end?,03:50PM
What days does the course 45898 Writing for Managers meet?,"Monday, Wednesday, "
What is the location of the course 45898 Writing for Managers?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45898 Writing for Managers?,TEP 2119
How many units is the course 45898 Writing for Managers?,6.0
Who are the instructors of the course 45898 Writing for Managers?,Walter
What is the course number of Business Language Analytics?,45900
What is the name of course number 45900?,Business Language Analytics
What time does the course 45900 Business Language Analytics begin?,12:00PM
What time does the course 45900 Business Language Analytics end?,01:45PM
What days does the course 45900 Business Language Analytics meet?,"Monday, Wednesday, "
What is the location of the course 45900 Business Language Analytics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45900 Business Language Analytics?,TEP 2112
How many units is the course 45900 Business Language Analytics?,6.0
Who are the instructors of the course 45900 Business Language Analytics?,Liang
What is the course number of Statistical Models for Management and Control - Causal Inference?,45911
What is the name of course number 45911?,Statistical Models for Management and Control - Causal Inference
What time does the course 45911 Statistical Models for Management and Control - Causal Inference begin?,02:00PM
What time does the course 45911 Statistical Models for Management and Control - Causal Inference end?,03:50PM
What days does the course 45911 Statistical Models for Management and Control - Causal Inference meet?,"Monday, Wednesday, "
What is the location of the course 45911 Statistical Models for Management and Control - Causal Inference?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45911 Statistical Models for Management and Control - Causal Inference?,TEP 2118
How many units is the course 45911 Statistical Models for Management and Control - Causal Inference?,6.0
Who are the instructors of the course 45911 Statistical Models for Management and Control - Causal Inference?,Sowell
What is the course number of Debt Markets?,45924
What is the name of course number 45924?,Debt Markets
What time does the course 45924 Debt Markets begin?,10:00AM
What time does the course 45924 Debt Markets end?,11:55AM
What days does the course 45924 Debt Markets meet?,"Tuesday, Thursday"
What is the location of the course 45924 Debt Markets?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45924 Debt Markets?,TEP 2202
How many units is the course 45924 Debt Markets?,6.0
Who are the instructors of the course 45924 Debt Markets?,Spatt
What is the course number of Big Data?,45980
What is the name of course number 45980?,Big Data
What time does the course 45980 Big Data begin?,02:00PM
What time does the course 45980 Big Data end?,03:50PM
What days does the course 45980 Big Data meet?,"Tuesday, Thursday"
What is the location of the course 45980 Big Data?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 45980 Big Data?,TEP 2202
How many units is the course 45980 Big Data?,6.0
Who are the instructors of the course 45980 Big Data?,Ciollaro
What is the course number of Data Exploration and Visualization?,46885
What is the name of course number 46885?,Data Exploration and Visualization
What time does the course 46885 Data Exploration and Visualization begin?,04:00PM
What time does the course 46885 Data Exploration and Visualization end?,05:45PM
What days does the course 46885 Data Exploration and Visualization meet?,"Monday, Wednesday, "
What is the location of the course 46885 Data Exploration and Visualization?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 46885 Data Exploration and Visualization?,TEP 2111
How many units is the course 46885 Data Exploration and Visualization?,6.0
Who are the instructors of the course 46885 Data Exploration and Visualization?,Jiang
What is the course number of Seminar in Finance IV (Corporate Finance)?,47724
What is the name of course number 47724?,Seminar in Finance IV (Corporate Finance)
What time does the course 47724 Seminar in Finance IV (Corporate Finance) begin?,12:00PM
What time does the course 47724 Seminar in Finance IV (Corporate Finance) end?,01:50PM
What days does the course 47724 Seminar in Finance IV (Corporate Finance) meet?,"Tuesday, Thursday"
What is the location of the course 47724 Seminar in Finance IV (Corporate Finance)?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 47724 Seminar in Finance IV (Corporate Finance)?,TEP 4219
How many units is the course 47724 Seminar in Finance IV (Corporate Finance)?,6.0
Who are the instructors of the course 47724 Seminar in Finance IV (Corporate Finance)?,Mayer
What is the course number of Microeconomics III?,47802
What is the name of course number 47802?,Microeconomics III
What time does the course 47802 Microeconomics III begin?,02:00PM
What time does the course 47802 Microeconomics III end?,03:50PM
What days does the course 47802 Microeconomics III meet?,"Monday, Wednesday, "
What is the location of the course 47802 Microeconomics III?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 47802 Microeconomics III?,TEP 5222
How many units is the course 47802 Microeconomics III?,6.0
Who are the instructors of the course 47802 Microeconomics III?,Shourideh
What is the course number of Macroeconomics III?,47805
What is the name of course number 47805?,Macroeconomics III
What time does the course 47805 Macroeconomics III begin?,04:00PM
What time does the course 47805 Macroeconomics III end?,05:50PM
What days does the course 47805 Macroeconomics III meet?,"Tuesday, Thursday"
What is the location of the course 47805 Macroeconomics III?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 47805 Macroeconomics III?,TEP 4219
How many units is the course 47805 Macroeconomics III?,6.0
Who are the instructors of the course 47805 Macroeconomics III?,Shi
What is the course number of Information Economics?,47817
What is the name of course number 47817?,Information Economics
What time does the course 47817 Information Economics begin?,12:00PM
What time does the course 47817 Information Economics end?,01:50PM
What days does the course 47817 Information Economics meet?,"Monday, Wednesday, "
What is the location of the course 47817 Information Economics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 47817 Information Economics?,TEP 4219
How many units is the course 47817 Information Economics?,6.0
Who are the instructors of the course 47817 Information Economics?,Best
What is the course number of Special Topics in Combinatorial Optimization?,47853
What is the name of course number 47853?,Special Topics in Combinatorial Optimization
What time does the course 47853 Special Topics in Combinatorial Optimization begin?,10:00AM
What time does the course 47853 Special Topics in Combinatorial Optimization end?,11:50AM
What days does the course 47853 Special Topics in Combinatorial Optimization meet?,"Monday, Wednesday, "
What is the location of the course 47853 Special Topics in Combinatorial Optimization?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 47853 Special Topics in Combinatorial Optimization?,TEP 4219
How many units is the course 47853 Special Topics in Combinatorial Optimization?,6.0
Who are the instructors of the course 47853 Special Topics in Combinatorial Optimization?,Kannan
What is the course number of Structural Models?,47902
What is the name of course number 47902?,Structural Models
What time does the course 47902 Structural Models begin?,10:00AM
What time does the course 47902 Structural Models end?,11:50AM
What days does the course 47902 Structural Models meet?,"Tuesday, Thursday"
What is the location of the course 47902 Structural Models?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 47902 Structural Models?,TEP 5219
How many units is the course 47902 Structural Models?,6.0
Who are the instructors of the course 47902 Structural Models?,Lessem
What is the course number of Human and Algorithmic Bias?,47954
What is the name of course number 47954?,Human and Algorithmic Bias
What time does the course 47954 Human and Algorithmic Bias begin?,12:00PM
What time does the course 47954 Human and Algorithmic Bias end?,02:50PM
What days does the course 47954 Human and Algorithmic Bias meet?,"Tuesday, "
What is the location of the course 47954 Human and Algorithmic Bias?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 47954 Human and Algorithmic Bias?,TEP 5222
How many units is the course 47954 Human and Algorithmic Bias?,6.0
Who are the instructors of the course 47954 Human and Algorithmic Bias?,Huang
What is the course number of Business Leadership Endeavor II?,70204
What is the name of course number 70204?,Business Leadership Endeavor II
What time does the course 70204 Business Leadership Endeavor II begin?,09:30AM
What time does the course 70204 Business Leadership Endeavor II end?,10:50AM
What days does the course 70204 Business Leadership Endeavor II meet?,"Tuesday, "
What is the location of the course 70204 Business Leadership Endeavor II?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70204 Business Leadership Endeavor II?,TEP 3808
How many units is the course 70204 Business Leadership Endeavor II?,3.0
Who are the instructors of the course 70204 Business Leadership Endeavor II?,Jafry O’Connor
What is the course number of Optimization for Business?,70257
What is the name of course number 70257?,Optimization for Business
What time does the course 70257 Optimization for Business begin?,07:00PM
What time does the course 70257 Optimization for Business end?,08:20PM
What days does the course 70257 Optimization for Business meet?,"Monday, Wednesday, "
What is the location of the course 70257 Optimization for Business?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 70257 Optimization for Business?,TEP 3801
How many units is the course 70257 Optimization for Business?,6.0
Who are the instructors of the course 70257 Optimization for Business?,Zetlin-Jones
What is the course number of Organizational Behavior?,70311
What is the name of course number 70311?,Organizational Behavior
